kabupaten_kota;gabah_kering_panen;gabah_kering_giling;beras_medium;beras_premium;hama_tikus;wereng_batang_coklat;penggerek_batang_padi;hama_kresek;hama_tungro;hama_blas;dampak_kekeringan;dampak_banjir;periode_update
Ngawi;4,206;5,213;8,5;11;  10.40 ;  14.86 ;  3.90 ;  9.60 ;  1.70 ;  3.95 ;0;0;Juni 2022
Bojonegoro;4,223;5,4;8,17;9,75;  2.05 ;  4.40 ;  1.60 ;  3.95 ;0;  3.25 ;0;0;Juni 2022
Tuban;4,456;5,263;8,367;10,267;  0.30 ;  3.20 ;  3.80 ;  32.25 ;  6.20 ;  13.20 ;0;0;Juni 2022
Lamongan;;;;;  1.60 ;  15.49 ;  1.40 ;  5.99 ;0;  0.65 ;0;0;Juni 2022
Gresik;4,238;5,141;8,567;9,493;0;0;  23.30 ;  35.10 ;  2.80 ;  5.00 ;0;0;Juni 2022
Bangkalan;;5,2;7,589;10,475;  3.65 ;  1.50 ;  5.65 ;  8.05 ;  0.55 ;  1.40 ;0;0;Juni 2022
Sampang;4,267;5,332;8,25;10,486;  231.25 ;0;  4.50 ;  8.75 ;0;0;0;0;Juni 2022
Pamekasan;;5;7;12;  8.07 ;  3.54 ;  1.75 ;  16.58 ;  1.65 ;  1.29 ;0;0;Juni 2022
Sumenep;;;7,275;;  21.54 ;  4.98 ;0;  11.82 ;0;0;0;0;Juni 2022
Kota Kediri;;;;;  13.30 ;  1.00 ;0;  0.20 ;0;0;0;0;Juni 2022
Kota Blitar;;;;;  36.31 ;  113.53 ;  4.75 ;  26.52 ;0;  3.57 ;0;0;Juni 2022
Kota Malang;;;;;  0.75 ;  6.60 ;0;0;0;0;0;0;Juni 2022
Kota Probolinggo;;;;;  6.32 ;  36.75 ;  0.10 ;  91.38 ;0;  1.75 ;0;0;Juni 2022
Kota Pasuruan;;;;;  10.50 ;  85.60 ;  48.70 ;  83.60 ;0;  24.75 ;0;0;Juni 2022
Kota Mojokerto;;;;;  20.95 ;0;  26.20 ;  11.20 ;0;  5.25 ;0;0;Juni 2022
Kota Madiun;;;;;  37.54 ;0;  21.05 ;  53.80 ;0;  67.80 ;0;0;Juni 2022
Kota Surabaya;;;;;  6.75 ;  0.10 ;  6.55 ;  4.15 ;0;  4.30 ;0;0;Juni 2022
Kota Batu;;;;;  12.50 ;0;  6.00 ;  35.00 ;0;  14.10 ;0;0;Juni 2022
Pacitan;;5;8,5;10;  2.00 ;0;  6.25 ;  18.30 ;0;  10.45 ;0;0;Juli 2022
Ponorogo;4,225;5,065;8,4;9,755;  5.00 ;0;  0.20 ;  0.30 ;0;  3.75 ;0;0;Juli 2022
Trenggalek;4,098;4,813;7,813;8,3;  46.90 ;0;  9.50 ;  48.40 ;0;  16.00 ;0;0;Juli 2022
Tulungagung;4,235;4,9;8,298;9,141;0;0;  0.42 ;  0.35 ;0;0;0;0;Juli 2022
Blitar;4,128;5,028;8,417;9,538;0;0;0;0;0;0;0;0;Juli 2022
Kediri;4,256;5,279;8,3;10;  0.20 ;0;  0.90 ;  1.40 ;0;  0.20 ;0;0;Juli 2022
Malang;4,517;5,325;9,025;9,729;0;0;0;0;0;0;0;0;Juli 2022
Lumajang;4,34;5,275;8,716;11;0;0;  1.30 ;  1.20 ;  0.20 ;0;0;0;Juli 2022
Jember;4,28;5,225;8,65;10,45;0;0;0;  0.56 ;0;0;0;0;Juli 2022
Banyuwangi;4,363;5,265;8,825;10,205;0;  7.75 ;  0.25 ;0;0;0;0;31.5;Juli 2022
Bondowoso;4,26;5,2;8,6;10,4;  0.30 ;0;0;  1.30 ;0;0;0;0;Juli 2022
Situbondo;4,298;5,35;8,965;10,067;0;0;  0.20 ;  0.50 ;0;0;0;0;Juli 2022
Probolinggo;4,23;5,22;8,93;9,84;  524.61 ;  378.91 ;  202.42 ;  590.84 ;  13.10 ;  199.86 ;0;0;Juli 2022
Pasuruan;4,225;5;9,117;9,6;  1.10 ;0;0;  1.90 ;0;  4.70 ;0;0;Juli 2022
Sidoarjo;4,324;5,5;8,675;9,895;0;  9.68 ;0;  6.91 ;0;  9.31 ;0;0;Juli 2022
Mojokerto;4,25;5,22;8,615;9,91;  0.65 ;  0.37 ;  0.55 ;  0.68 ;0;  0.32 ;0;0;Juli 2022
Jombang;4,265;5,1;8,4;10,079;  12.84 ;0;  1.87 ;  10.88 ;0;0;0;0;Juli 2022
Nganjuk;4,183;4,85;9;10,5;  1.24 ;  0.07 ;  0.20 ;  0.40 ;0;  0.28 ;0;0;Juli 2022
Madiun;4,557;5,072;8,46;9,5;  2.66 ;  9.43 ;  0.50 ;  3.95 ;0;  1.58 ;0;0;Juli 2022
Magetan;4,34;5,08;8,5;10;  11.55 ;  4.30 ;  9.70 ;  31.75 ;0;  0.50 ;0;0;Juli 2022
Ngawi;4,587;5,329;8,613;11;0;  14.85 ;  2.50 ;  5.50 ;  0.25 ;0;0;0;Juli 2022
Bojonegoro;4,231;5,4;8,125;9,75;  9.00 ;  7.30 ;  11.12 ;  12.42 ;0;  1.90 ;0;0;Juli 2022
Tuban;4,616;5,356;8,33;10,18;  5.50 ;  1.70 ;  8.75 ;  7.70 ;0;  2.75 ;0;0;Juli 2022
Lamongan;4,572;5,111;8,533;10,611;0;  3.80 ;  16.70 ;  10.30 ;  11.95 ;  3.60 ;0;0;Juli 2022
Gresik;4,173;5,244;8,584;9,676;0;  6.70 ;  7.05 ;  13.35 ;0;  0.70 ;0;0;Juli 2022
Bangkalan;4,2;5,2;7,5;10,5;0;  0.20 ;  22.50 ;  16.00 ;  0.90 ;0;0;0;Juli 2022
Sampang;4,2;5,213;8,2;10,35;  4.50 ;  2.30 ;  2.76 ;  5.00 ;  0.20 ;  1.30 ;0;0;Juli 2022
Pamekasan;4;5,288;8,917;11,042;  391.00 ;0;  2.50 ;  8.55 ;0;  0.01 ;0;0;Juli 2022
Sumenep;;;7,381;;  14.51 ;  3.00 ;  3.82 ;  15.09 ;0;  3.91 ;0;0;Juli 2022
Kota Kediri;;;;;  38.48 ;  17.80 ;0;  19.12 ;0;0;0;0;Juli 2022
Kota Blitar;;;;;  7.07 ;  0.31 ;0;0;0;0;0;0;Juli 2022
Kota Malang;;;;;  11.43 ;  60.00 ;  2.90 ;  20.63 ;0;  5.00 ;0;0;Juli 2022
Kota Probolinggo;;;;;0;  17.50 ;0;0;0;0;0;268.5;Juli 2022
Kota Pasuruan;;;;;  113.42 ;  232.30 ;  0.55 ;  125.00 ;0;  2.40 ;0;0;Juli 2022
Kota Mojokerto;;;;;  34.00 ;  46.00 ;  6.50 ;  12.00 ;0;  1.50 ;0;91.2;Juli 2022
Kota Madiun;;;;;  21.30 ;  9.40 ;  11.40 ;  2.10 ;0;  6.00 ;0;0;Juli 2022
Kota Surabaya;;;;;  66.94 ;  19.80 ;  14.00 ;  100.40 ;0;  13.20 ;0;0;Juli 2022
Kota Batu;;;;;  3.80 ;  1.30 ;  3.65 ;  7.80 ;0;  2.70 ;0;0;Juli 2022
Pacitan;;5,1;8,453;10;  1.00 ;0;  6.00 ;  36.40 ;0;  15.00 ;0;0;Agustus 2022
Ponorogo;4,539;5,208;8,4;9,5;0;0;0;0;0;0;0;0;Agustus 2022
Trenggalek;4,375;5,067;8,175;8,555;0;0;0;0;0;  0.50 ;0;0;Agustus 2022
Tulungagung;4,687;5,405;8,446;9,389;  77.10 ;0;  10.60 ;  58.30 ;0;  10.00 ;0;0;Agustus 2022
Blitar;4,225;5,415;8,475;9,65;0;0;0;0;0;0;0;0;Agustus 2022
Kediri;4,675;5,744;8,525;10;0;0;0;0;0;0;0;0;Agustus 2022
Malang;4,68;5,742;9,085;9,775;  0.20 ;0;0;0;0;0;0;0;Agustus 2022
Lumajang;5,011;5,308;8,968;10,7;0;0;  5.00 ;0;0;0;0;0;Agustus 2022
Jember;4,859;5,2;8,744;10,494;0;0;0;0;0;0;0;0;Agustus 2022
Banyuwangi;4,605;5,548;8,98;10,35;  0.42 ;0;0;  0.35 ;0;0;0;0;Agustus 2022
Bondowoso;4,81;5,556;8,7;10,421;0;0;0;0;0;0;0;359.7;Agustus 2022
Situbondo;4,539;5,7;9,075;10,075;0;0;0;0;0;0;0;0;Agustus 2022
Probolinggo;4,869;;9,228;10,563;0;0;0;0;0;0;0;0;Agustus 2022
Pasuruan;4,356;5,5;9,179;9,568;  829.71 ;  468.11 ;  151.12 ;  532.48 ;  13.30 ;  87.16 ;0;0;Agustus 2022
Sidoarjo;4,854;5,967;8,99;10,432;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.70 ;0;0;Agustus 2022
Mojokerto;4,857;5,57;8,99;10,575;0.00 ;0.42 ;0.28 ;0.49 ;0.00 ;0.00 ;0;65;Agustus 2022
Jombang;5,079;5,38;8,494;10,5;2.34 ;0.57 ;0.40 ;0.75 ;0.00 ;0.27 ;0;0;Agustus 2022
Nganjuk;4,417;5,5;9;10,5;2.87 ;1.67 ;3.52 ;5.45 ;0.00 ;0.00 ;0;0;Agustus 2022
Madiun;5,138;5,421;8,606;9,5;3.32 ;0.00 ;0.50 ;1.80 ;0.00 ;0.75 ;0;0;Agustus 2022
Magetan;5,195;5,593;8,516;10,594;0.00 ;5.35 ;0.14 ;2.24 ;0.00 ;0.00 ;0;0;Agustus 2022
Ngawi;5,317;5,569;9,054;11;17.70 ;7.05 ;16.90 ;24.50 ;0.00 ;0.80 ;0;0;Agustus 2022
Bojonegoro;4,942;5,225;8,25;9,75;3.75 ;3.50 ;28.45 ;13.20 ;0.30 ;0.00 ;0;0;Agustus 2022
Tuban;5,302;5,954;8,463;10,242;2.10 ;1.90 ;6.00 ;1.60 ;0.20 ;2.35 ;0;0;Agustus 2022
Lamongan;5,267;5,55;8,517;10,488;3.00 ;6.45 ;11.45 ;8.35 ;0.00 ;3.50 ;0;0;Agustus 2022
Gresik;4,303;5,399;8,9;10,3;0.00 ;0.60 ;16.35 ;15.95 ;10.55 ;4.80 ;0;0;Agustus 2022
Bangkalan;4,203;5,25;7,5;10,509;0.10 ;0.40 ;6.65 ;10.25 ;0.50 ;0.40 ;0;0;Agustus 2022
Sampang;;;8,625;10,725;0.00 ;0.00 ;20.40 ;21.85 ;1.10 ;0.00 ;0;0;Agustus 2022
Pamekasan;4,25;5,267;9;11;2.45 ;0.50 ;5.20 ;2.60 ;0.30 ;2.40 ;0;0;Agustus 2022
Sumenep;;;7,819;;161.20 ;0.00 ;12.80 ;6.80 ;0.00 ;0.50 ;0;0;Agustus 2022
Kota Kediri;;;;;2.48 ;2.96 ;2.19 ;10.31 ;0.28 ;0.80 ;0;0;Agustus 2022
Kota Blitar;;;;;12.52 ;7.28 ;0.00 ;12.00 ;0.00 ;0.00 ;0;0;Agustus 2022
Kota Malang;;;;;1.14 ;0.50 ;0.14 ;1.40 ;0.00 ;0.30 ;0;0;Agustus 2022
Kota Probolinggo;;;;;14.58 ;6.54 ;5.36 ;9.56 ;0.00 ;2.74 ;0;0;Agustus 2022
Kota Pasuruan;;;;;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Agustus 2022
Kota Mojokerto;;;;;40.08 ;56.14 ;0.60 ;302.25 ;0.00 ;2.00 ;0;0;Agustus 2022
Kota Madiun;;;;;9.75 ;9.00 ;24.90 ;8.50 ;0.00 ;4.25 ;0;0;Agustus 2022
Kota Surabaya;;;;;14.95 ;3.00 ;10.00 ;1.50 ;0.00 ;7.00 ;0;0;Agustus 2022
Kota Batu;;;;;64.35 ;6.40 ;49.60 ;29.50 ;0.00 ;71.30 ;0;0;Agustus 2022
Pacitan;;5,23;8;10;4.10 ;0.20 ;2.85 ;8.85 ;0.00 ;6.60 ;0;0;Sep-22
Ponorogo;4,87;5,67;9,116;10,529;2.00 ;0.00 ;11.00 ;25.50 ;0.00 ;3.00 ;0;0;Sep-22
Trenggalek;4,667;5,45;8,5;8,825;2.60 ;0.00 ;0.00 ;0.55 ;0.00 ;2.10 ;0;0;Sep-22
Tulungagung;5,16;5,743;8,921;10,007;0.00 ;0.00 ;3.00 ;0.00 ;0.00 ;0.00 ;0;0;Sep-22
Blitar;4,741;5,703;8,791;9,951;0.00 ;0.00 ;8.20 ;18.40 ;0.00 ;22.55 ;0;0;Sep-22
Kediri;5;6,186;9,279;10,857;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Sep-22
Malang;5,033;5,867;9,467;10,133;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Sep-22
Lumajang;5,377;6,224;9,564;10,631;1.00 ;0.00 ;0.00 ;0.90 ;0.00 ;0.60 ;0;0;Sep-22
Jember;5,167;5,757;9,086;10,686;0.00 ;0.00 ;1.70 ;0.55 ;0.00 ;0.00 ;0;0;Sep-22
Banyuwangi;5,036;5,857;9,086;10,586;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Sep-22
Bondowoso;5,131;5,691;9,035;10,54;0.21 ;0.00 ;0.00 ;0.56 ;0.00 ;0.00 ;0;0;Sep-22
Situbondo;5,055;5,945;9,335;10,491;0.00 ;0.00 ;0.15 ;0.00 ;0.00 ;0.00 ;0;65;Sep-22
Probolinggo;5,31;5,82;9,365;10,6;0.00 ;0.02 ;0.00 ;1.40 ;0.00 ;0.00 ;0;0;Sep-22
Pasuruan;5,191;5,79;9,5;9,987;0.00 ;0.00 ;0.00 ;0.20 ;0.00 ;0.00 ;0;0;Sep-22
Sidoarjo;5,423;5,825;9,498;10,7;  369.09 ;  120.45 ;  248.73 ;  547.76 ;  13.23 ;  139.71 ;0;0;Sep-22
Mojokerto;5,175;5,881;9,163;10,6;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.70 ;0;0;Sep-22
Jombang;5,243;5,556;8,725;10,513;0.00 ;0.42 ;0.28 ;0.49 ;0.00 ;0.00 ;0;0;Sep-22
Nganjuk;4,841;5,619;9;10,5;2.34 ;0.57 ;0.40 ;0.75 ;0.00 ;0.27 ;0;0;Sep-22
Madiun;5,471;5,656;8,753;9,225;2.87 ;1.67 ;3.52 ;5.45 ;0.00 ;0.00 ;0;0;Sep-22
Magetan;;5,846;9,15;10,5;3.32 ;0.00 ;0.50 ;1.80 ;0.00 ;0.75 ;0;0;Sep-22
Ngawi;;6,115;9,28;11,425;0.00 ;5.35 ;0.14 ;2.24 ;0.00 ;0.00 ;0;0;Sep-22
Bojonegoro;5,5;6;8,5;10,3;17.70 ;7.05 ;16.90 ;24.50 ;0.00 ;0.80 ;0;0;Sep-22
Tuban;5,654;6,219;8,84;10,29;3.75 ;3.50 ;28.45 ;13.20 ;0.30 ;0.00 ;0;0;Sep-22
Lamongan;5,653;5,86;9,668;10,942;2.10 ;1.90 ;6.00 ;1.60 ;0.20 ;2.35 ;14;15;Sep-22
Gresik;5,275;5,879;9,283;10,411;3.00 ;6.45 ;11.45 ;8.35 ;0.00 ;3.50 ;0;0;Sep-22
Bangkalan;;5,533;8,345;11,163;0.00 ;0.60 ;16.35 ;15.95 ;10.55 ;4.80 ;0;0;Sep-22
Sampang;;5,4;8,87;11;0.10 ;0.40 ;6.65 ;10.25 ;0.50 ;0.40 ;0;0;Sep-22
Pamekasan;;5,405;8,025;10,525;0.00 ;0.00 ;20.40 ;21.85 ;1.10 ;0.00 ;0;0;Sep-22
Sumenep;;;8,612;;2.45 ;0.50 ;5.20 ;2.60 ;0.30 ;2.40 ;0;0;Sep-22
Kota Kediri;;;;;161.20 ;0.00 ;12.80 ;6.80 ;0.00 ;0.50 ;0;0;Sep-22
Kota Blitar;;;;;2.48 ;2.96 ;2.19 ;10.31 ;0.28 ;0.80 ;0;0;Sep-22
Kota Malang;;;;;12.52 ;7.28 ;0.00 ;12.00 ;0.00 ;0.00 ;0;0;Sep-22
Kota Probolinggo;;;;;1.14 ;0.50 ;0.14 ;1.40 ;0.00 ;0.30 ;0;0;Sep-22
Kota Pasuruan;;;;;14.58 ;6.54 ;5.36 ;9.56 ;0.00 ;2.74 ;0;0;Sep-22
Kota Mojokerto;;;;;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Sep-22
Kota Madiun;;;;;40.08 ;56.14 ;0.60 ;302.25 ;0.00 ;2.00 ;0;0;Sep-22
Kota Surabaya;;;;;9.75 ;9.00 ;24.90 ;8.50 ;0.00 ;4.25 ;0;0;Sep-22
Kota Batu;;;;;14.95 ;3.00 ;10.00 ;1.50 ;0.00 ;7.00 ;0;0;Sep-22
Pacitan;;5,4;8;10;64.35 ;6.40 ;49.60 ;29.50 ;0.00 ;71.30 ;0;0;Oktober 2022
Ponorogo;;5,8;9,3;11;4.10 ;0.20 ;2.85 ;8.85 ;0.00 ;6.60 ;0;0;Oktober 2022
Trenggalek;5,072;5,8;8,594;9,087;2.00 ;0.00 ;11.00 ;25.50 ;0.00 ;3.00 ;0;0;Oktober 2022
Tulungagung;5,388;5,978;9,065;9,623;2.60 ;0.00 ;0.00 ;0.55 ;0.00 ;2.10 ;0;0;Oktober 2022
Blitar;5;6,004;9,323;10,26;0.00 ;0.00 ;3.00 ;0.00 ;0.00 ;0.00 ;0;0;Oktober 2022
Kediri;5,5;6,5;9,263;11;0.00 ;0.00 ;8.20 ;18.40 ;0.00 ;22.55 ;0;0;Oktober 2022
Malang;;;;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Oktober 2022
Lumajang;5,369;5,938;9,718;10,7;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Oktober 2022
Jember;5,229;5,89;9,155;10,79;1.00 ;0.00 ;0.00 ;0.90 ;0.00 ;0.60 ;0;0;Oktober 2022
Banyuwangi;5,285;5,975;9,285;10,6;0.00 ;0.00 ;1.70 ;0.55 ;0.00 ;0.00 ;0;0;Oktober 2022
Bondowoso;5,197;5,854;9,109;10,642;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Oktober 2022
Situbondo;5,18;5,99;9,48;10,6;0.21 ;0.00 ;0.00 ;0.56 ;0.00 ;0.00 ;0;0;Oktober 2022
Probolinggo;5,4;6;9,55;10,6;0.00 ;0.00 ;0.15 ;0.00 ;0.00 ;0.00 ;14;15;Oktober 2022
Pasuruan;5,467;5,741;9,417;9,817;0.00 ;0.02 ;0.00 ;1.40 ;0.00 ;0.00 ;4;30;Oktober 2022
Sidoarjo;5,348;5,91;9,875;10,775;0.00 ;0.00 ;0.00 ;0.20 ;0.00 ;0.00 ;0;0;Oktober 2022
Mojokerto;5,411;6,006;9,325;10,725;369.09 ;120.45 ;248.73 ;547.76 ;13.23 ;139.71 ;0;0;Oktober 2022
Jombang;;6,013;9,09;10,675;4.05 ;0.20 ;1.90 ;5.30 ;0.00 ;0.50 ;0;10;Oktober 2022
Nganjuk;5,05;5,75;9;10,5;102.00 ;0.00 ;5.35 ;9.25 ;0.00 ;0.00 ;0;110;Oktober 2022
Madiun;5,718;5,964;9,283;10,26;2.39 ;6.20 ;3.16 ;11.26 ;0.00 ;1.30 ;0;0;Oktober 2022
Magetan;5,35;5,995;9,373;10,542;1.00 ;0.00 ;0.00 ;8.30 ;0.00 ;0.00 ;0;1,143.50;Oktober 2022
Ngawi;5,167;6,2;9,363;11;1.60 ;3.50 ;11.45 ;3.40 ;0.00 ;1.00 ;0;0;Oktober 2022
Bojonegoro;5,488;6,1;9;10,5;11.50 ;4.00 ;9.50 ;20.00 ;0.00 ;5.50 ;0;0;Oktober 2022
Tuban;5,43;6,275;9;10,285;57.35 ;1.70 ;79.50 ;15.50 ;0.00 ;15.42 ;0;0;Oktober 2022
Lamongan;5,633;6,233;9,722;10,611;11.98 ;1.33 ;8.50 ;15.25 ;0.00 ;5.69 ;0;0;Oktober 2022
Gresik;;6,01;9,658;10,553;1.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;36.2;Oktober 2022
Bangkalan;;5,844;9,425;11,4;18.66 ;22.10 ;0.32 ;13.00 ;0.00 ;6.10 ;0;0;Oktober 2022
Sampang;;5,5;8,778;11,15;0.00 ;0.00 ;16.47 ;2.27 ;0.00 ;0.28 ;0;0;Oktober 2022
Pamekasan;;5,5;8,5;11;1.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;87;Oktober 2022
Sumenep;;;9,092;;0.00 ;0.00 ;0.77 ;2.54 ;0.00 ;0.00 ;0;351;Oktober 2022
Kota Kediri;;;;;0.78 ;0.00 ;1.00 ;1.40 ;0.00 ;0.30 ;0;759;Oktober 2022
Kota Blitar;;;;;7.21 ;0.00 ;0.14 ;0.00 ;0.00 ;0.66 ;0;35;Oktober 2022
Kota Malang;;;;;5.46 ;0.20 ;3.50 ;4.18 ;0.00 ;0.00 ;0;0;Oktober 2022
Kota Probolinggo;;;;;2.27 ;0.30 ;0.87 ;0.83 ;0.00 ;0.87 ;0;0;Oktober 2022
Kota Pasuruan;;;;;10.25 ;2.50 ;10.30 ;17.10 ;0.00 ;3.20 ;0;280.05;Oktober 2022
Kota Mojokerto;;;;;2.30 ;0.00 ;8.45 ;3.35 ;0.20 ;0.70 ;0;0;Oktober 2022
Kota Madiun;;;;;0.00 ;0.00 ;38.00 ;8.15 ;0.00 ;0.00 ;0;0;Oktober 2022
Kota Surabaya;;;;;0.85 ;0.00 ;24.55 ;10.95 ;0.00 ;0.70 ;0;0;Oktober 2022
Kota Batu;;;;;0.00 ;0.00 ;19.30 ;15.25 ;2.15 ;2.55 ;0;5.5;Oktober 2022
Pacitan;;5,438;9,404;11,031;0.50 ;1.20 ;5.40 ;4.95 ;0.00 ;0.00 ;0;0;Nov-22
Ponorogo;4,825;5,867;9,617;11;0.10 ;1.60 ;2.90 ;4.95 ;0.40 ;1.60 ;0;0;Nov-22
Trenggalek;5,042;5,8;8,7;9,183;2.75 ;2.97 ;19.55 ;11.25 ;0.00 ;4.10 ;0;0;Nov-22
Tulungagung;5,383;6,064;9,486;10,419;5.00 ;0.00 ;0.00 ;2.00 ;0.00 ;0.00 ;0;0;Nov-22
Blitar;4,946;5,979;9,546;10,677;1.50 ;0.00 ;2.80 ;1.50 ;0.00 ;0.00 ;0;0;Nov-22
Kediri;5,5;6,567;9,467;11;0.00 ;0.00 ;0.00 ;1.50 ;0.00 ;1.00 ;0;0;Nov-22
Malang;;;;;0.00 ;0.00 ;2.20 ;5.50 ;0.00 ;4.00 ;0;0;Nov-22
Lumajang;5,296;5,7;9,792;10,7;0.00 ;0.00 ;0.00 ;1.10 ;0.00 ;0.00 ;0;0;Nov-22
Jember;5,331;6;9,275;10,85;0.00 ;0.00 ;0.00 ;0.63 ;0.00 ;0.00 ;0;0;Nov-22
Banyuwangi;5,356;6,013;9,609;10,878;0.00 ;0.00 ;0.28 ;0.50 ;0.00 ;0.00 ;0;0;Nov-22
Bondowoso;5,321;6,101;9,381;11,061;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Nov-22
Situbondo;5,25;6,2;9,813;10,988;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Nov-22
Probolinggo;5,4;6,2;9,6;10,8;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.20 ;0;0;Nov-22
Pasuruan;5,14;5,8;9,8;11;0.70 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;4;2,847.25;Nov-22
Sidoarjo;5,191;6,366;9,913;10,918;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0;0;Nov-22
Mojokerto;5,363;6,096;9,413;10,529;0.00 ;0.00 ;1.00 ;0.00 ;0.00 ;0.00 ;0;0;Nov-22
Jombang;;6,277;9,2;10,6;252.70 ;47.80 ;277.16 ;201.16 ;2.75 ;55.67 ;0;0;Nov-22
Nganjuk;5,15;5,771;9;10,5;0;0;0;  0.13 ;0;0;0;0;Nov-22
Madiun;5,38;6,07;9,505;10,213;0;0;  0.17 ;0;0;  1.50 ;0;0;Nov-22
Magetan;5,434;6,013;9,734;10,969;  0.34 ;  0.40 ;  0.10 ;  0.93 ;0;  0.20 ;0;30;Nov-22
Ngawi;5,283;6,325;9,688;11,125;  1.82 ;0;  4.14 ;  3.84 ;0;  0.44 ;0;0;Nov-22
Bojonegoro;5,528;6,2;9;10,475;  5.16 ;0;  0.15 ;  0.80 ;0;  0.10 ;0;0;Nov-22
Tuban;5,566;6,356;9,134;10,547;0;  1.14 ;  2.14 ;  0.20 ;0;  0.14 ;0;0;Nov-22
Lamongan;5,5;6;9,4;10,5;  23.25 ;0;  18.70 ;  21.05 ;0;  1.60 ;0;0;Nov-22
Gresik;;6,001;9,563;10,638;0;  1.20 ;  15.25 ;  12.25 ;0;0;0;0;Nov-22
Bangkalan;;5,875;9,5;11,125;0;  0.90 ;  6.95 ;  2.80 ;0;  5.00 ;0;47.5;Nov-22
Sampang;;5,717;8,531;11;  3.00 ;  1.80 ;  19.90 ;  11.55 ;0;  2.00 ;0;0;Nov-22
Pamekasan;;5,5;8,5;11;0;  0.35 ;  17.50 ;  8.25 ;  1.20 ;  5.00 ;0;0;Nov-22
Sumenep;;;9,116;;0;  2.20 ;  9.60 ;  7.00 ;0;  0.70 ;0;0;Nov-22
Kota Kediri;;;;;0;  5.30 ;  8.15 ;  8.30 ;0;0;0;0;Nov-22
Kota Blitar;;;;;  1.40 ;  0.30 ;  5.94 ;  2.60 ;  0.20 ;  2.80 ;0;0;Nov-22
Kota Malang;;;;;  12.60 ;  2.00 ;  7.00 ;  5.00 ;0;  1.50 ;0;0;Nov-22
Kota Probolinggo;;;;;  3.40 ;0;  2.96 ;  12.32 ;  0.92 ;  0.60 ;0;0;Nov-22
Kota Pasuruan;;;;;  0.40 ;  1.78 ;  0.40 ;  4.60 ;0;0;0;0;Nov-22
Kota Mojokerto;;;;;  0.60 ;  0.20 ;  3.58 ;  1.68 ;0;0;0;0;Nov-22
Kota Madiun;;;;;  19.91 ;  27.14 ;  8.79 ;  9.74 ;0;  14.55 ;0;0;Nov-22
Kota Surabaya;;;;;  0.15 ;0;0;0;0;0;0;0;Nov-22
Kota Batu;;;;;  76.88 ;  18.97 ;  35.40 ;  30.85 ;0;  3.70 ;0;3.8;Nov-22
Pacitan;;5,797;8,913;10,479;  13.20 ;  1.00 ;  13.70 ;  19.00 ;0;  7.50 ;0;8;Desember 2022
Ponorogo;5,783;6,288;10,275;11,75;  0.50 ;0;  8.70 ;  1.70 ;0;  3.00 ;0;0;Desember 2022
Trenggalek;5,242;6,125;9,05;9,675;  88.24 ;0;  30.50 ;  10.62 ;0;  6.25 ;0;0;Desember 2022
Tulungagung;5,711;6,44;9,672;10,841;  1.60 ;0;  0.80 ;  2.85 ;0;0;0;0;Desember 2022
Blitar;5,344;6,081;10,231;10,729;0;0;  6.00 ;0;0;0;0;0;Desember 2022
Kediri;5,733;6,733;9,856;11;0;0;0;  0.50 ;0;0;0;0;Desember 2022
Malang;;;;;0;0;0;0;0;0;0;0;Desember 2022
Lumajang;5,505;6,098;10,214;10,7;0;0;  1.00 ;  13.70 ;0;  4.60 ;0;0;Desember 2022
Jember;5,343;6,085;9,376;11,052;0;0;0;  1.12 ;0;0;0;0;Desember 2022
Banyuwangi;5,41;6,2;9,7;11;0;0;0;0;0;0;0;0;Desember 2022
Bondowoso;5,398;6,198;9,803;11,095;  0.20 ;0;0;  0.70 ;0;  0.40 ;0;0;Desember 2022
Situbondo;5,41;6,2;9,8;11;0;0;0;0;0;0;0;0;Desember 2022
Probolinggo;5,925;6,843;10,168;11,313;0;0;0;0;0;0;0;0;Desember 2022
Pasuruan;;;;;  0.25 ;0;0;  0.28 ;0;0;0;0;Desember 2022
Sidoarjo;5,384;6,425;10,1;11;0;  0.14 ;  0.28 ;  0.50 ;0;0;0;89.3;Desember 2022
